ACTIVITY_CODE,ACTIVITY_NAME,TREATMENT_TYPE,FUND_CODES,NBR_UNITS_PLANNED,NBR_UNITS_ACCOMPLISHED,UOM,DATE_PLANNED,DATE_ACCOMPLISHED,DATE_COMPLETED,FY_PLANNED,FY_ACCOMPLISHED,FY_COMPLETED,ACTIVITY_UNIT_ORG,REGION_CODE,ADMIN_FOREST_CODE,DISTRICT_CODE,HOME_ORG,ADMIN_FOREST_NAME,ADMIN_DISTRICT_NAME,PROCLAIMED_FOREST_CODE,OWNERSHIP_CODE,OWNERSHIP_DESC,STATE_ABBR,WATERSHED_CODE,SLOPE,ELEVATION,ASPECT,METHOD_CODE,METHOD_DESC,EQUIPMENT_CODE,EQUIPMENT_DESC,COST_PER_UOM,NEPA_PROJECT_ID,NEPA_DOC_NAME,IMPLEMENTATION_PROJECT_NAMES,IMPLEMENTATION_PROJECT_NUMBERS,IMPLEMENTATION_PROJECT_TYPES,WORK_AGENT_CODES,SUBUNIT_SIZE,SUBUNIT_UOM,GIS_ACRES,ACTIVITY_UNIT_CN,SUBUNIT_CN,FACTS_ID,SUID,SUBUNIT,SUBUNIT_NAME,ACTIVITY_CN,NEPA_PROJECT_CN,STAGE,STAGE_DESC,REV_DATE,DATA_SOURCE_CODE,DATA_SOURCE_DESC,ACCURACY,UK,OBJECTID,ALPCOUNTY,SHAPEAREA,SHAPELEN
7100,"Pollinator habitat improved, restored or maintained",N/A,XXXX,164,,ACRES,2019-09-30T00:00:00.000Z,,,2019,,,030703,03,07,03,030703,Kaibab National Forest,North Kaibab Ranger District,0307,FS,USDA FOREST SERVICE,AZ,,,,,200,Mechanical,455,Feller Buncher,,32654,(PALS)DN & FONSI JACOB-RYAN VEGETATION MANAGEMENT PROJECT,MONARCH BUTTERFLY HABITAT RESTORATION, ,MBHR,CT,164,ACRES,164.515,3978205010602,1197206010602,A000000083,030703A000000083154,154,WILDHORSE REOFFER TENDING PU 1,5928692010602,33859,3,Accomplished,2019-09-27T19:48:52.000Z,2,GPS – Uncorrected Data,,0307_28657_ACTP,5495,Coconino,6.7163354970017e-05,0.0954241120546523
7100,"Pollinator habitat improved, restored or maintained",N/A,XXXX,143,,ACRES,2019-09-30T00:00:00.000Z,,,2019,,,030703,03,07,03,030703,Kaibab National Forest,North Kaibab Ranger District,0307,FS,USDA FOREST SERVICE,AZ,,,,,200,Mechanical,455,Feller Buncher,,32654,(PALS)DN & FONSI JACOB-RYAN VEGETATION MANAGEMENT PROJECT,MONARCH BUTTERFLY HABITAT RESTORATION, ,MBHR,CT,143,ACRES,143.745,3978205010602,1197207010602,A000000083,030703A000000083155,155,WILDHORSE REOFFER TENDING PU 2,5928759010602,33859,3,Accomplished,2019-09-27T19:48:51.000Z,2,GPS – Uncorrected Data,,0307_28635_ACTP,5496,Coconino,5.8697281273285e-05,0.0715123037104651
7100,"Pollinator habitat improved, restored or maintained",N/A,XXXX,26,,ACRES,2019-09-30T00:00:00.000Z,,,2019,,,030703,03,07,03,030703,Kaibab National Forest,North Kaibab Ranger District,0307,FS,USDA FOREST SERVICE,AZ,,,,,200,Mechanical,455,Feller Buncher,,32654,(PALS)DN & FONSI JACOB-RYAN VEGETATION MANAGEMENT PROJECT,MONARCH BUTTERFLY HABITAT RESTORATION, ,MBHR,CT,26,ACRES,26.211,3978205010602,1197208010602,A000000083,030703A000000083156,156,WILDHORSE REOFFER TENDING PU 3,5929358010602,33859,3,Accomplished,2019-09-27T19:48:51.000Z,2,GPS – Uncorrected Data,,0307_28636_ACTP,5497,Coconino,1.0699336582964e-05,0.0278601070031536
7100,"Pollinator habitat improved, restored or maintained",N/A,XXXX,148,,ACRES,2019-09-30T00:00:00.000Z,,,2019,,,030703,03,07,03,030703,Kaibab National Forest,North Kaibab Ranger District,0307,FS,USDA FOREST SERVICE,AZ,,,,,200,Mechanical,455,Feller Buncher,,32654,(PALS)DN & FONSI JACOB-RYAN VEGETATION MANAGEMENT PROJECT,MONARCH BUTTERFLY HABITAT RESTORATION, ,MBHR,CT,148,ACRES,147.887,3978205010602,1197210010602,A000000083,030703A000000083157,157,WILDHORSE REOFFER TENDING PU 4,5929510010602,33859,3,Accomplished,2019-09-27T19:48:51.000Z,2,GPS – Uncorrected Data,,0307_28637_ACTP,5498,Coconino,6.03943698141675e-05,0.0772984334062218
7100,"Pollinator habitat improved, restored or maintained",N/A,XXXX,101,,ACRES,2019-09-30T00:00:00.000Z,,,2019,,,030703,03,07,03,030703,Kaibab National Forest,North Kaibab Ranger District,0307,FS,USDA FOREST SERVICE,AZ,,,,,200,Mechanical,455,Feller Buncher,,32654,(PALS)DN & FONSI JACOB-RYAN VEGETATION MANAGEMENT PROJECT,MONARCH BUTTERFLY HABITAT RESTORATION, ,MBHR,CT,101,ACRES,99.973,3978205010602,1197211010602,A000000083,030703A000000083158,158,WILDHORSE REOFFER TENDING PU 5,5929546010602,33859,3,Accomplished,2019-09-27T19:48:51.000Z,2,GPS – Uncorrected Data,,0307_28638_ACTP,5499,Coconino,4.08202179558935e-05,0.0503169681771371
7100,"Pollinator habitat improved, restored or maintained",N/A,XXXX,145,,ACRES,2019-09-30T00:00:00.000Z,,,2019,,,030703,03,07,03,030703,Kaibab National Forest,North Kaibab Ranger District,0307,FS,USDA FOREST SERVICE,AZ,,,,,200,Mechanical,455,Feller Buncher,,32654,(PALS)DN & FONSI JACOB-RYAN VEGETATION MANAGEMENT PROJECT,MONARCH BUTTERFLY HABITAT RESTORATION, ,MBHR,CT,145,ACRES,145.507,3978205010602,1197212010602,A000000083,030703A000000083159,159,WILDHORSE REOFFER TENDING PU 6,5929552010602,33859,3,Accomplished,2019-09-27T19:48:52.000Z,2,GPS – Uncorrected Data,,0307_28660_ACTP,5500,Coconino,5.9410537641795e-05,0.0590514466387141
7100,"Pollinator habitat improved, restored or maintained",N/A,XXXX,5,,ACRES,2019-09-30T00:00:00.000Z,,,2019,,,030703,03,07,03,030703,Kaibab National Forest,North Kaibab Ranger District,0307,FS,USDA FOREST SERVICE,AZ,,,,,200,Mechanical,455,Feller Buncher,,32654,(PALS)DN & FONSI JACOB-RYAN VEGETATION MANAGEMENT PROJECT,MONARCH BUTTERFLY HABITAT RESTORATION, ,MBHR,CT,5,ACRES,5.242,3978205010602,1197213010602,A000000083,030703A000000083160,160,BASIN REOFFER PAYUNIT 1 GRP SELECT REGEN HARV.,5929562010602,33859,3,Accomplished,2019-09-27T19:48:52.000Z,2,GPS – Uncorrected Data,,0307_28648_ACTP,5501,Coconino,2.1409834691885e-06,0.0137306255224028
7100,"Pollinator habitat improved, restored or maintained",N/A,XXXX,9,,ACRES,2019-09-30T00:00:00.000Z,,,2019,,,030703,03,07,03,030703,Kaibab National Forest,North Kaibab Ranger District,0307,FS,USDA FOREST SERVICE,AZ,,,,,200,Mechanical,455,Feller Buncher,,32654,(PALS)DN & FONSI JACOB-RYAN VEGETATION MANAGEMENT PROJECT,MONARCH BUTTERFLY HABITAT RESTORATION, ,MBHR,CT,9,ACRES,8.968,3978205010602,1197214010602,A000000083,030703A000000083161,161,BASIN REOFFER PAYUNIT 2 GRP SELECT REGEN HARV.,5929574010602,33859,3,Accomplished,2019-09-27T19:48:52.000Z,2,GPS – Uncorrected Data,,0307_28650_ACTP,5502,Coconino,3.6627819739905e-06,0.023493843685506
7100,"Pollinator habitat improved, restored or maintained",N/A,XXXX,5,,ACRES,2019-09-30T00:00:00.000Z,,,2019,,,030703,03,07,03,030703,Kaibab National Forest,North Kaibab Ranger District,0307,FS,USDA FOREST SERVICE,AZ,,,,,200,Mechanical,455,Feller Buncher,,32654,(PALS)DN & FONSI JACOB-RYAN VEGETATION MANAGEMENT PROJECT,MONARCH BUTTERFLY HABITAT RESTORATION, ,MBHR,CT,5,ACRES,5.075,3978205010602,1197216010602,A000000083,030703A000000083163,163,BASIN REOFFER PAYUNIT 5 GRP SELECT REGEN HARV.,5929617010602,33859,3,Accomplished,2019-09-27T19:48:52.000Z,2,GPS – Uncorrected Data,,0307_28656_ACTP,5504,Coconino,2.072926110145e-06,0.0172275356343798
7100,"Pollinator habitat improved, restored or maintained",N/A,XXXX,11,,ACRES,2019-09-30T00:00:00.000Z,,,2019,,,030703,03,07,03,030703,Kaibab National Forest,North Kaibab Ranger District,0307,FS,USDA FOREST SERVICE,AZ,,,,,200,Mechanical,455,Feller Buncher,,32654,(PALS)DN & FONSI JACOB-RYAN VEGETATION MANAGEMENT PROJECT,MONARCH BUTTERFLY HABITAT RESTORATION, ,MBHR,CT,11,ACRES,11.117,3978205010602,1197215010602,A000000083,030703A000000083162,162,BASIN REOFFER PAYUNIT 3 GRP SELECT REGEN HARV.,5929588010602,33859,3,Accomplished,2019-09-27T19:48:52.000Z,2,GPS – Uncorrected Data,,0307_28652_ACTP,5503,Coconino,4.5400636460565e-06,0.0304090211467262
